答案代號,主題,問題,Ｑ換句話說,Ａ答案,關鍵字,同義詞
LQA-4-20,餐點詢問,可以多加一顆荷包蛋嗎,想多一顆荷包蛋 加一顆荷包蛋 ,加一顆荷包蛋加10 元唷,荷包蛋,
LQA-4-21,餐點詢問,可以加蛋嗎,想多一顆蛋 加散蛋 ,加一顆散蛋加10 元唷,蛋,散蛋
LQA-4-22,餐點詢問,你們套餐有哪些？,你們有哪些套餐？ 套餐有含飲料嗎？ 套餐有含飲品嗎？ 有套餐嗎？ 有什麼套餐？ ,我們有19種超值全餐，可參考粉絲團菜單:https://www.facebook.com/lbu2513r/menu/?ref=page_internal,套餐,餐點
LQA-4-24,餐點詢問,有英文菜單嗎？,英文菜單 有英文版菜單嗎？ 英文的菜單 ,我們目前沒有提供英文菜單唷！,英文,
LQA-4-25,餐點詢問,請問你們牛肉來源？,牛肉產地 牛肉來自哪裡 牛肉是台灣的嗎 牛肉是美國的嗎 牛肉來源 ,我們使用澳洲、巴拉圭優質牛肉。,牛肉 產地 來源 ,
LQA-4-26,餐點詢問,可以不要灑胡椒嗎？,不要胡椒 不要灑胡椒 別灑胡椒 ,好的！我們幫您留意與備註,胡椒,胡椒鹽
LQA-4-27,餐點詢問,我的土司要換丹麥,土司改丹麥 土司可以換丹麥嗎？ 我要換丹麥 土司幫我換丹麥 土司換丹麥 ,好的！我們土司會幫您改成丹麥，但是需補差額10元喔,土司換丹麥,土司改丹麥 培根蛋餅 薯餅蛋餅 
LQA-4-28,餐點詢問,你們有水煮蛋嗎？,我想吃水煮蛋 想吃水煮蛋,可以參考我們DIDI卡系列 是水煮蛋喔!有DiDi卡三明治、丹麥DiDi卡。另外我們也有提供水煮蛋一顆10元喔！,水煮蛋,
LQA-4-29,餐點詢問,你們奶茶是放鮮奶還是奶精,奶茶是奶精嗎？奶茶是鮮奶茶嗎 奶茶是奶精還是鮮奶 奶茶是奶精還是牛奶 你們奶茶是放牛奶還是奶精 ,我們是使用光泉鮮奶喔！我們不使用奶精等人工添加物，奶茶與鮮奶 是使用光泉鮮奶。,奶茶 牛奶 鮮奶 奶精 ,
LQA-4-30,餐點詢問,三明治有哪些口味,三明治菜單 有哪些三明治 有幾種三明治 三明治有哪些 三明治有幾種 ,菜脯雞肉三明治牛肉蕃茄三明治花生薯餅蛋三明治花生豬排培根蛋三明治招牌三明治 司 養三明治特級培根三明治肉鬆蔥花 司三明治菜圃雞肉三明治 司薯泥鮪魚蛋三明治里肌豬排三明治香濃 司 養三明治https://www.facebook.com/lbu2513r/menu/?ref=page_internal,三明治,
LQA-4-31,餐點詢問,漢堡有哪些口味,漢堡菜單 有哪些漢堡 有幾種漢堡 漢堡有哪些 漢堡有幾種 我想要吃漢堡 ,火腿雞蛋堡香酥雞肉堡薯餅雞蛋堡香蔥椒鹽燒肉堡黃金炸豬 司堡香辣雞腿肉蛋堡脆皮雞腿堡泰式辣味雞腿堡花生醬 司牛肉堡培根牛肉 司堡https://www.facebook.com/lbu2513r/menu/?ref=page_internal,漢堡,
LQA-4-32,餐點詢問,土司跟三明治差在哪,三明治跟土司差在哪 三明治跟土司有什麼差 土司跟三明治有什麼差 ,三明治是三片土司，土司系列是兩片土司，可以選擇口味也 不一樣喔,土司 三明治 ,
LQA-4-33,餐點詢問,土司有哪些口味,土司菜單 有哪些土司 有幾種土司 土司有哪些 土司有幾種 ,菜脯蔥蛋土司香濃 司玉米蛋土司薯泥火腿蛋土司肉鬆薯泥土司花生培根蛋土司火腿薯餅蛋土司雙倍香濃 司蛋土司香蔥蛋椒鹽燒肉蛋土司花枝炸物土司,"土司 菜脯蔥蛋土司香濃 司玉米蛋土司 薯泥火腿蛋土司 肉鬆薯泥土司 花生培根蛋土司 火腿薯餅蛋土司 雙倍香濃 司蛋土司 香蔥蛋椒鹽燒肉蛋土司 花枝炸物土司 ",
LQA-4-34,餐點詢問,蛋餅有哪些口味,蛋餅菜單 有哪些蛋餅 有幾種蛋餅 蛋餅有哪些 蛋餅有幾種 ,原味蛋餅菜脯蔥蛋餅火腿蛋餅玉米蛋餅 司蛋餅泰式辣鬆蛋餅特級培根蛋餅黃金薯餅蛋餅薯泥 司蛋餅豬排蛋餅,蛋餅 菜脯蔥蛋餅 火腿蛋餅 玉米蛋餅  司蛋餅 泰式辣鬆蛋餅 特級培根蛋餅 黃金薯餅蛋餅 薯泥 司蛋餅 豬排蛋餅 ,
LQA-4-35,餐點詢問,你們用哪家牛奶,你們用哪家鮮奶 你們用哪個品牌的鮮奶 你們用哪個品牌的牛奶 ,我們使用光泉鮮奶喔,牛奶 鮮奶 ,
LQA-4-36,餐點詢問,義大利麵有哪幾種口味,義大利麵有什麼口味 義大利麵有哪些 有白醬義大利麵？ 有白醬義大利麵？ ,我們有白醬蘑菇跟番茄紅醬口味：特級培根義大利麵花枝天婦羅義大利麵培根雞肉義大利麵脆皮雞腿義大利麵黃金炸豬義大利麵,義大利麵 紅醬 白醬 ,
LQA-4-36,餐點詢問,有什麼飲料？,可以換什麼飲料？有什麼飲料？ 可以換什麼飲品？ 有什麼飲品？ 有紅茶嗎？ 有冬瓜茶嗎？ 有綠茶嗎？ 有豆漿嗎？ 有豆漿紅茶嗎？ 有柳橙汁嗎？ ,你好！我們的飲料有古早味紅茶(甜度固定)、伯爵紅茶(可以調整糖度)、手工冬瓜茶、茉莉綠茶、豆漿、豆漿紅茶、柳橙汁。,飲料 紅茶 冬瓜茶 綠茶 豆漿 豆漿紅茶 柳橙汁 ,飲品
LQA-4-37,餐點詢問,有無糖的飲料嗎？,飲料有無糖的嗎？ 飲料可以不加糖嗎？ ,你好！我們伯爵紅茶可以調整糖度唷！還有無糖豆漿可以參考喔！,無糖 飲料 ,不加糖 飲品 
LQA-4-38,餐點詢問,飲料甜度可以調整嗎？,飲料可以做半糖嗎？ 飲料可以做三分糖嗎？ 飲料可以做二分糖嗎？ 飲料可以做一分糖嗎？ 飲料可以做微糖嗎？ 飲料微微 飲料微少 飲料少少 飲料微糖微冰 飲料少糖少冰 飲料糖冰可以調整嗎？ 飲品甜度可以調整嗎？ 飲品可以做半糖嗎？ 飲品可以做三分糖嗎？ 飲品可以做二分糖嗎？ 飲品可以做一分糖嗎？ 飲品可以做微糖嗎？ 飲品微微 飲品微少 飲品少少 飲品微糖微冰 飲品少糖少冰 飲品糖冰可以調整嗎？ ,你好！我們伯爵紅茶可以調整糖度唷！還有無糖豆漿可以參考喔！,半糖 少糖 微糖 微微 少少 微少 分糖 ,
LQA-4-38,餐點詢問,飲料可以做熱的嗎？,飲料可以做溫的嗎？ 飲料可以做常溫嗎？ 飲料可以去冰嗎？ 飲料要熱一點 飲料去冰 飲品可以做溫的嗎？ 飲品可以做常溫嗎？ 飲品可以去冰嗎？ 飲品要熱一點 飲品去冰 ,好的！飲料我們會幫您調整。,常溫 去冰 ,溫的 飲品 
LQA-4-39,餐點詢問,飲料可以做大杯的嗎？,飲料可以升級嗎 飲料要大杯的 飲料大杯 飲品可以升級嗎 飲品要大杯的 飲品大杯 ,飲料可以幫您升級，但是需補差額喔！,升級 大杯 飲料 ,
LQA-4-40,餐點詢問,二號餐有什麼？,我想吃二號餐 二號餐 我想吃2號餐 2號餐 2號餐有什麼？ 介紹二號餐 介紹2號餐 ,你好！二號餐NT83  有豬排薯泥土司+一熱狗+一杯小杯玉米濃湯,2號餐,二號餐
LQA-4-41,餐點詢問,三號餐有什麼？,我想吃三號餐 三號餐 我想吃3號餐 3號餐 3號餐有什麼？ 介紹三號餐 介紹3號餐 ,你好！三號餐NT89  有豬排薯泥土司+蘿蔔糕+一杯15元飲料，飲料超過15元補差額,3號餐,三號餐
LQA-4-42,餐點詢問,四號餐有什麼？,我想吃四號餐 四號餐 我想吃4號餐 4號餐 4號餐有什麼？ 介紹四號餐 介紹4號餐 ,你好！四號餐NT108  有辣味雞腿堡+薯條+一杯15元飲料，飲料超過15元補差額,4號餐,四號餐
LQA-4-43,餐點詢問,五號餐有什麼？,我想吃五號餐 五號餐 我想吃5號餐 5號餐 5號餐有什麼？ 介紹五號餐 介紹5號餐 ,你好！五號餐NT89  有熱狗+雞塊+薯條+四方大薯餅+玉米 司蛋土司+一杯15元飲料，飲料超過15元補差額,5號餐,五號餐
LQA-4-44,餐點詢問,六號餐有什麼？,我想吃六號餐 六號餐 我想吃6號餐 6號餐 6號餐有什麼？ 介紹六號餐 介紹6號餐 ,你好！六號餐NT86  有花生豬排蛋土司+原味蛋餅+一杯15元飲料，飲料超過15元補差額,6號餐,六號餐
LQA-4-45,餐點詢問,七號餐有什麼？,我想吃七號餐 七號餐 我想吃7號餐 7號餐 7號餐有什麼？ 介紹七號餐 介紹7號餐 ,你好！七號餐NT96  有椒麻拌麵+奶油餐包+小杯玉米濃湯,7號餐,七號餐
LQA-4-46,餐點詢問,八號餐有什麼？,我想吃八號餐 八號餐 我想吃8號餐 8號餐 8號餐有什麼？ 介紹八號餐 介紹8號餐 ,你好！八號餐NT83  有沙茶拌麵+椒鹽蔥蛋餅+一杯15元飲料，飲料超過15元補差額,8號餐,八號餐
LQA-4-47,餐點詢問,九號餐有什麼？,我想吃九號餐 九號餐 我想吃9號餐 9號餐 9號餐有什麼？ 介紹九號餐 介紹9號餐 ,你好！九號餐NT79  有鮪魚玉米蛋土司＋薯條+一杯15元飲料，飲料超過15元補差額,9號餐,九號餐
LQA-4-48,餐點詢問,十號餐有什麼？,我想吃十號餐 十號餐 我想吃10號餐 10號餐 10號餐有什麼？ 介紹十號餐 介紹10號餐 ,你好！十號餐NT79  有菜脯蔥蛋刈包＋蘿蔔糕+小杯玉米濃湯,10號餐,十號餐
LQA-4-49,餐點詢問,十一號餐有什麼？,我想吃十一號餐 十一號餐 我想吃11號餐 11號餐 11號餐有什麼？ 介紹十一號餐 介紹11號餐 ,你好！十一號餐NT70  有花生豬排蛋土司＋一杯15元飲料，飲料超過15元補差額,11號餐,十一號餐
LQA-4-50,餐點詢問,十二號餐有什麼？,我想吃十二號餐 十二號餐 我想吃12號餐 12號餐 12號餐有什麼？ 介紹十二號餐 介紹12號餐 ,你好！十二號餐NT60 有黃瓜培根蛋土司＋一杯15元飲料，飲料超過15元補差額,12號餐,十二號餐
LQA-4-51,餐點詢問,十三號餐有什麼？,我想吃十三號餐 十三號餐 我想吃13號餐 13號餐 13號餐有什麼？ 介紹十三號餐 介紹13號餐 ,你好！十三號餐NT60 有丹麥吉事蛋＋一杯15元飲料，飲料超過15元補差額,13號餐,十三號餐
LQA-4-52,餐點詢問,十四號餐有什麼？,我想吃十四號餐 十四號餐 我想吃14號餐 14號餐 14號餐有什麼？ 介紹十四號餐 介紹14號餐 ,你好！十四號餐NT55 鮪魚玉米蛋土司＋一杯15元飲料，飲料超過15元補差額,14號餐,十四號餐
LQA-4-53,餐點詢問,十五號餐有什麼？,我想吃十五號餐 十五號餐 我想吃15號餐 15號餐 15號餐有什麼？ 介紹十五號餐 介紹15號餐 ,你好！十五號餐NT55 親子雞肉堡＋一杯15元飲料，飲料超過15元補差額,15號餐,十五號餐
LQA-4-54,餐點詢問,十六號餐有什麼？,我想吃十六號餐 十六號餐 我想吃16號餐 16號餐 16號餐有什麼？ 介紹十六號餐 介紹16號餐 ,你好！十六號餐NT75有3個餐包＋一份小雞塊+一杯15元飲料，飲料超過15元補差額,16號餐,十六號餐
LQA-4-55,餐點詢問,十七號餐有什麼？,我想吃十七號餐 十七號餐 我想吃17號餐 17號餐 17號餐有什麼？ 介紹十七號餐 介紹17號餐 ,你好！十七號餐NT60 豬排蛋餅+一杯15元飲料，飲料超過15元補差額,17號餐,十七號餐
LQA-4-56,餐點詢問,十八號餐有什麼？,我想吃十八號餐 十八號餐 我想吃18號餐 18號餐 18號餐有什麼？ 介紹十八號餐 介紹18號餐 ,你好！十八號餐NT75 花枝蝦排堡+一杯15元飲料，飲料超過15元補差額,18號餐,十八號餐
LQA-4-57,餐點詢問,十九號餐有什麼？,我想吃十九號餐 十九號餐 我想吃19號餐 19號餐 19號餐有什麼？ 介紹十九號餐 介紹19號餐 ,你好！十九號餐NT50 四方薯餅刈包+一杯15元飲料，飲料超過15元補差額,19號餐,十九號餐
LQA-4-58,餐點詢問,有雞肉濃湯嗎？,我要雞肉濃湯 還有雞肉濃湯嗎？ ,我們雞肉濃湯有馬鈴薯、胡蘿蔔、玉米、雞蛋、雞塊肉喔！,雞肉濃湯,
LQA-4-59,餐點詢問,有烏龍湯麵嗎？,有烏龍麵嗎？  ,我們烏龍湯麵是柴魚湯底、火鍋肉片、蛋捲丸、竹輪、蟹味棒、黃金魚蛋、高麗菜喔,烏龍湯麵,烏龍麵 薯餅 薯泥沙拉 薯條 地瓜球 脆薯 餐包  唐揚雞 
LQA-4-60,餐點詢問,鮮奶系列,飲料有鮮奶的嗎？ 有鮮奶茶嗎？ ,你好！我們鮮奶茶系列有紅茶鮮奶、伯爵鮮奶、冬瓜鮮奶、綠茶鮮奶、豆漿鮮奶、巧克力鮮奶、鮮奶,鮮奶 鮮奶茶 ,
LQA-4-61,餐點詢問,有小點心嗎？,有炸物嗎？ 有點心嗎 有熱狗嗎 有薯餅嗎？ 有四方大薯餅嗎？ 有大薯餅嗎？ 有薯泥沙拉蛋嗎？ 有薯泥沙拉嗎？ 有波浪薯條嗎 有薯條嗎 有蘿蔔糕嗎？ 有煎蛋蘿蔔糕嗎？ 有經典雞塊嗎？ 有雞塊嗎？ 有小雞塊嗎？ 有甜不辣嗎？ 有地瓜黃金球嗎？ 有地瓜球嗎？ 有黃金脆薯嗎 有脆薯嗎 有奶油餐包嗎？ 有餐包嗎 有雞肉棒嗎？ 有唐揚炸雞嗎？ ,我們炸物與小點心有：熱狗(3入)、四方大薯餅、薯泥沙拉蛋、波浪薯條、蘿蔔糕、煎蛋蘿蔔糕、經典雞塊(5入)、甜不辣、地瓜黃金球、黃金脆薯、奶油餐包(3入)、雞肉棒(4入)、唐揚炸雞,點心 炸物 四方大薯餅 薯泥沙拉蛋 波浪薯條 蘿蔔糕 煎蛋蘿蔔糕 經典雞塊 雞塊 甜不辣 地瓜黃金球 黃金脆薯 奶油餐包 雞肉棒 唐揚炸雞 ,
LQA-4-62,餐點詢問,請問DiDi卡是什麼？,DiDi卡是什麼 DiDi卡裡面有什麼 ,我們DiDi卡商品有DiDi卡三明治(三片吐司、美生菜、蕃茄、水煮蛋、菜酥、小黃瓜)丹麥DiDi(丹麥兩片、沙拉、小黃瓜、水煮蛋、菜酥、蕃茄、生菜 ),DiDi,DiDi卡
LQA-4-63,餐點詢問,DiDi卡三明治是什麼？,DiDi卡三明治是？ DiDi卡三明治裡面有什麼？ ,你好！DiDi卡三明治(三片吐司、美生菜、蕃茄、水煮蛋、菜酥、小黃瓜),DiDi卡三明治,
LQA-4-64,餐點詢問,丹麥DiDi卡是什麼？,丹麥DiDi卡？ 丹麥DiDi卡裡面有什麼？ ,你好！丹麥DiDi(丹麥兩片、沙拉、小黃瓜、水煮蛋、菜酥、蕃茄、生菜 ),丹麥DiDi卡,
LQA-4-65,餐點詢問,介紹招牌三明治,招牌三明治裡面有什麼? 招牌三明治內容物 招牌三明治包什麼？ 招牌裡面有什麼? 招牌內容物 招牌包什麼？ ,你好！招牌三明治(土司三片、沙拉、小黃瓜、火腿、雞蛋),招牌三明治,招牌
LQA-4-66,餐點詢問,介紹香濃 養三明治,香濃 養三明治裡面有什麼? 香濃 養三明治內容物 香濃 養三明治包什麼？  養三明治裡面有什麼?  養三明治內容物  養三明治包什麼？ ,你好！香濃 養三明治(土司三片、沙拉、蕃茄、火腿、 司、雞蛋),香濃 養三明治  養 , 養三明治
LQA-4-67,餐點詢問,介紹花生薯餅三明治,花生薯餅三明治裡面有什麼? 花生薯餅三明治內容物 花生薯餅三明治包什麼？ 薯餅三明治裡面有什麼? 薯餅三明治內容物 薯餅三明治包什麼？ ,你好！花生薯餅三明治(土司三片、花生醬、沙拉、薯餅、雞蛋),花生薯餅三明治 花生薯餅 ,薯餅三明治
LQA-4-68,餐點詢問,介紹菜脯雞肉三明治,菜脯雞肉三明治裡面有什麼? 菜脯雞肉三明治內容物 菜脯雞肉三明治包什麼？ ,你好！菜脯雞肉三明治(土司三片、菜脯蛋、香酥雞、塔塔醬、生菜),花生薯餅三明治,薯餅三明治
LQA-4-69,餐點詢問,介紹肉鬆蔥花 司三明治,肉鬆蔥花 司三明治裡面有什麼? 肉鬆蔥花 司三明治內容物 肉鬆蔥花 司三明治包什麼？ ,你好！肉鬆蔥花 司三明治(土司三片、沙拉、小黃瓜、肉鬆、 司、蔥花、雞蛋),肉鬆蔥花 司三明治 肉鬆 蔥花,
LQA-4-70,餐點詢問,介紹特級培根三明治,特級培根三明治裡面有什麼? 特級培根三明治內容物 特級培根三明治包什麼？ 培根三明治有什麼? 培根三明治內容物 培根三明治包什麼？ ,你好！特級培根三明治(土司三片、沙拉、小黃瓜、培根條、雞蛋),特級培根三明治 培根 ,培根三明治
LQA-4-71,餐點詢問,介紹里肌豬排三明治,里肌豬排三明治裡面有什麼? 里肌豬排三明治內容物 里肌豬排三明治包什麼？ 豬排三明治有什麼? 豬排三明治內容物 豬排三明治包什麼？ ,你好！里肌豬排三明治(土司三片、沙拉、小黃瓜、里肌豬排、黑胡椒、雞蛋),里肌豬排三明治 里肌豬排 豬排 ,豬排三明治
LQA-4-72,餐點詢問,介紹香酥雙雞三明治,香酥雙雞三明治裡面有什麼? 香酥雙雞三明治內容物 雙雞三明治包什麼？ 雙雞三明治有什麼? 雙雞三明治內容物 雙雞三明治包什麼？ ,你好！香酥雙雞三明治(土司三片、沙拉、香酥雞*2、照燒醬、雞蛋),雙雞,雙雞三明治
LQA-4-73,餐點詢問,介紹 司薯泥鮪魚蛋三明治, 司薯泥鮪魚蛋三明治裡面有什麼?  司薯泥鮪魚蛋三明治內容物  司薯泥鮪魚蛋包什麼？  司薯泥鮪魚蛋有什麼?  司薯泥鮪魚蛋內容物  司薯泥鮪魚蛋包什麼？ ,你好！ 司薯泥鮪魚蛋三明治(土司三片、鮪魚醬、 司、薯泥蛋、沙拉), 司薯泥鮪魚蛋三明治,薯泥鮪魚
LQA-4-74,餐點詢問,介紹花生豬排培根蛋三明治,花生豬排培根蛋三明治裡面有什麼? 花生豬排培根蛋三明治內容物 花生豬排培根蛋三明治包什麼？ 花生豬排培根蛋有什麼? 花生豬排培根蛋內容物 花生豬排培根蛋包什麼？ ,你好！花生豬排培根蛋三明治(土司三片、花生醬、沙拉、培根條、里肌豬排、雞蛋),花生豬排培根蛋三明治,
LQA-4-75,餐點詢問,介紹菜脯蔥蛋土司,菜脯蔥蛋土司裡面有什麼? 菜脯蔥蛋土司內容物 菜脯蔥蛋土司包什麼？ 菜脯蔥蛋有什麼? 菜脯蔥蛋內容物 菜脯蔥蛋包什麼？ ,你好！菜脯蔥蛋土司(土司兩片、菜脯青蔥蛋、沙拉),菜脯蔥蛋,
LQA-4-76,餐點詢問,介紹香濃 司玉米蛋土司,香濃 司玉米蛋土司裡面有什麼? 香濃 司玉米蛋土司內容物 香濃 司玉米蛋土司包什麼？  司玉米蛋有什麼?  司玉米蛋內容物  司玉米蛋包什麼？ ,你好！ 司玉米蛋土司(土司兩片、玉米蛋、 司、沙拉), 司玉米蛋,
LQA-4-77,餐點詢問,介紹薯泥火腿蛋土司,薯泥火腿蛋土司裡面有什麼? 薯泥火腿蛋土司內容物 薯泥火腿蛋土司包什麼？ 薯泥火腿蛋有什麼? 薯泥火腿蛋內容物 薯泥火腿蛋包什麼？ ,你好！薯泥火腿蛋土司(土司兩片、雞蛋、火腿、薯泥、沙拉),薯泥火腿蛋,
LQA-4-78,餐點詢問,介紹肉鬆薯泥土司,肉鬆薯泥土司裡面有什麼? 肉鬆薯泥土司內容物 肉鬆薯泥土司包什麼？ 肉鬆薯泥有什麼? 肉鬆薯泥內容物 肉鬆薯泥包什麼？ ,你好！肉鬆薯泥土司(土司兩片、沙拉、肉鬆、薯泥、雞蛋),肉鬆薯泥,
LQA-4-79,餐點詢問,介紹火腿薯餅蛋土司,火腿薯餅蛋土司裡面有什麼? 火腿薯餅蛋土司內容物 火腿薯餅蛋土司包什麼？ 火腿薯餅蛋有什麼? 火腿薯餅蛋內容物 火腿薯餅蛋包什麼？ ,你好！火腿薯餅蛋土司(土司兩片、沙拉、火腿、薯餅、雞蛋),火腿薯餅蛋,
LQA-4-80,餐點詢問,介紹雙倍香濃 司蛋土司,雙倍香濃 司蛋土司裡面有什麼? 雙倍香濃 司蛋土司內容物 雙倍香濃 司蛋土司包什麼？ 雙倍香濃 司蛋有什麼? 雙倍香濃 司蛋內容物 雙倍香濃 司蛋包什麼？ ,你好！雙倍香濃 司蛋土司(土司兩片、沙拉、 司兩片、雞蛋),雙倍香濃 司蛋,
